diop,Rama,seckrama098@gmail.com,F,771231412,2
diop,Rama,seckrama098@gmail.com,F,771231412,3
seck,Rama,seckrama098@gmail.com,F,771231412,3
diop,Rama,seckrama098@gmail.com,F,771231412,4
ndiaye,Rama,seckrama098@gmail.com,F,771231412,5
ndiaye,Rama,seckrama098@gmail.com,F,771231412,4
diop,assane,seckrama098@gmail.com,G,771231412,5
diop,Rama,seckrama098@gmail.com,F,771231412,6
diop,Rama,seckrama098@gmail.com,F,771231412,6
diop,Rama,seckrama098@gmail.com,F,771231412,1
diop,Rama,seckrama098@gmail.com,F,771231412,1
diop,Rama,seckrama098@gmail.com,F,771231412,1
diop,Rama,seckrama098@gmail.com,F,771231412,1
